Protein	Organism	Strain	Additional_Info
2B1A_HUMAN	Homo sapiens		Human
2B1B_HUMAN	Homo sapiens		Human
2B1C_HUMAN	Homo sapiens		Human
2B1D_HUMAN	Homo sapiens		Human
2B1E_HUMAN	Homo sapiens		Human
2B1F_HUMAN	Homo sapiens		Human
2B1G_HUMAN	Homo sapiens		Human
3BHS1_HUMAN	Homo sapiens		Human
3BHS2_HUMAN	Homo sapiens		Human
3BHS7_HUMAN	Homo sapiens		Human
3BP1_HUMAN	Homo sapiens		Human
3BP2_HUMAN	Homo sapiens		Human
3BP5L_HUMAN	Homo sapiens		Human
3BP5_HUMAN	Homo sapiens		Human
3HAO_HUMAN	Homo sapiens		Human
3HIDH_HUMAN	Homo sapiens		Human
3MG_HUMAN	Homo sapiens		Human
41_HUMAN	Homo sapiens		Human
4EBP1_HUMAN	Homo sapiens		Human
4EBP2_HUMAN	Homo sapiens		Human
4EBP3_HUMAN	Homo sapiens		Human
4ET_HUMAN	Homo sapiens		Human
4F2_HUMAN	Homo sapiens		Human
5HT1A_HUMAN	Homo sapiens		Human
5HT1B_HUMAN	Homo sapiens		Human
5HT1D_HUMAN	Homo sapiens		Human
5HT1E_HUMAN	Homo sapiens		Human
5HT1F_HUMAN	Homo sapiens		Human
5HT2A_HUMAN	Homo sapiens		Human
5HT2B_HUMAN	Homo sapiens		Human
5HT2C_HUMAN	Homo sapiens		Human
5HT3A_HUMAN	Homo sapiens		Human
5HT3B_HUMAN	Homo sapiens		Human
5HT3C_HUMAN	Homo sapiens		Human
5HT3D_HUMAN	Homo sapiens		Human
5HT3E_HUMAN	Homo sapiens		Human
5HT4R_HUMAN	Homo sapiens		Human
5HT5A_HUMAN	Homo sapiens		Human
5HT6R_HUMAN	Homo sapiens		Human
5HT7R_HUMAN	Homo sapiens		Human
5NT1A_HUMAN	Homo sapiens		Human
5NT1B_HUMAN	Homo sapiens		Human
5NT3L_HUMAN	Homo sapiens		Human
5NT3_HUMAN	Homo sapiens		Human
5NTC_HUMAN	Homo sapiens		Human
5NTD_HUMAN	Homo sapiens		Human
68MP_HUMAN	Homo sapiens		Human
6PGD_HUMAN	Homo sapiens		Human
6PGL_HUMAN	Homo sapiens		Human
7B2_HUMAN	Homo sapiens		Human
8ODP_HUMAN	Homo sapiens		Human
A16A1_HUMAN	Homo sapiens		Human
A16L1_HUMAN	Homo sapiens		Human
A16L2_HUMAN	Homo sapiens		Human
A1AG1_HUMAN	Homo sapiens		Human
A1AG2_HUMAN	Homo sapiens		Human
A1ATR_HUMAN	Homo sapiens		Human
A1AT_HUMAN	Homo sapiens		Human
A1BG_HUMAN	Homo sapiens		Human
A1CF_HUMAN	Homo sapiens		Human
A20A1_HUMAN	Homo sapiens		Human
A20A2_HUMAN	Homo sapiens		Human
A20A3_HUMAN	Homo sapiens		Human
A20A4_HUMAN	Homo sapiens		Human
A20A5_HUMAN	Homo sapiens		Human
A26L1_HUMAN	Homo sapiens		Human
A2AP_HUMAN	Homo sapiens		Human
A2GL_HUMAN	Homo sapiens		Human
A2LD1_HUMAN	Homo sapiens		Human
A2MG_HUMAN	Homo sapiens		Human
A2ML1_HUMAN	Homo sapiens		Human
A30BL_HUMAN	Homo sapiens		Human
A4GAT_HUMAN	Homo sapiens		Human
A4GCT_HUMAN	Homo sapiens		Human
A4_HUMAN	Homo sapiens		Human
A7L3B_HUMAN	Homo sapiens		Human
AA1R_HUMAN	Homo sapiens		Human
AA2AR_HUMAN	Homo sapiens		Human
AA2BR_HUMAN	Homo sapiens		Human
AA3RB_HUMAN	Homo sapiens		Human
