Protein	Organism	Strain	Additional_Info
1433B_HUMAN	Homo sapiens		Human
1433E_HUMAN	Homo sapiens		Human
1433F_HUMAN	Homo sapiens		Human
1433G_HUMAN	Homo sapiens		Human
1433S_HUMAN	Homo sapiens		Human
1433T_HUMAN	Homo sapiens		Human
1433Z_HUMAN	Homo sapiens		Human
1A01_HUMAN	Homo sapiens		Human
1A02_HUMAN	Homo sapiens		Human
1A03_HUMAN	Homo sapiens		Human
1A11_HUMAN	Homo sapiens		Human
1A1L1_HUMAN	Homo sapiens		Human
1A1L2_HUMAN	Homo sapiens		Human
1A23_HUMAN	Homo sapiens		Human
1A24_HUMAN	Homo sapiens		Human
1A25_HUMAN	Homo sapiens		Human
1A26_HUMAN	Homo sapiens		Human
1A29_HUMAN	Homo sapiens		Human
1A30_HUMAN	Homo sapiens		Human
1A31_HUMAN	Homo sapiens		Human
1A32_HUMAN	Homo sapiens		Human
1A33_HUMAN	Homo sapiens		Human
1A34_HUMAN	Homo sapiens		Human
1A36_HUMAN	Homo sapiens		Human
1A43_HUMAN	Homo sapiens		Human
1A66_HUMAN	Homo sapiens		Human
1A68_HUMAN	Homo sapiens		Human
1A69_HUMAN	Homo sapiens		Human
1A74_HUMAN	Homo sapiens		Human
1A80_HUMAN	Homo sapiens		Human
1B07_HUMAN	Homo sapiens		Human
1B08_HUMAN	Homo sapiens		Human
1B13_HUMAN	Homo sapiens		Human
1B14_HUMAN	Homo sapiens		Human
1B15_HUMAN	Homo sapiens		Human
1B18_HUMAN	Homo sapiens		Human
1B27_HUMAN	Homo sapiens		Human
1B35_HUMAN	Homo sapiens		Human
1B37_HUMAN	Homo sapiens		Human
1B38_HUMAN	Homo sapiens		Human
1B39_HUMAN	Homo sapiens		Human
1B40_HUMAN	Homo sapiens		Human
1B41_HUMAN	Homo sapiens		Human
1B42_HUMAN	Homo sapiens		Human
1B44_HUMAN	Homo sapiens		Human
1B45_HUMAN	Homo sapiens		Human
1B46_HUMAN	Homo sapiens		Human
1B47_HUMAN	Homo sapiens		Human
1B48_HUMAN	Homo sapiens		Human
1B49_HUMAN	Homo sapiens		Human
1B50_HUMAN	Homo sapiens		Human
1B51_HUMAN	Homo sapiens		Human
1B52_HUMAN	Homo sapiens		Human
1B53_HUMAN	Homo sapiens		Human
1B54_HUMAN	Homo sapiens		Human
1B55_HUMAN	Homo sapiens		Human
1B56_HUMAN	Homo sapiens		Human
1B57_HUMAN	Homo sapiens		Human
1B58_HUMAN	Homo sapiens		Human
1B59_HUMAN	Homo sapiens		Human
1B67_HUMAN	Homo sapiens		Human
1B73_HUMAN	Homo sapiens		Human
1B78_HUMAN	Homo sapiens		Human
1B81_HUMAN	Homo sapiens		Human
1B82_HUMAN	Homo sapiens		Human
1C01_HUMAN	Homo sapiens		Human
1C02_HUMAN	Homo sapiens		Human
1C03_HUMAN	Homo sapiens		Human
1C04_HUMAN	Homo sapiens		Human
1C05_HUMAN	Homo sapiens		Human
1C06_HUMAN	Homo sapiens		Human
1C07_HUMAN	Homo sapiens		Human
1C08_HUMAN	Homo sapiens		Human
1C12_HUMAN	Homo sapiens		Human
1C14_HUMAN	Homo sapiens		Human
1C15_HUMAN	Homo sapiens		Human
1C16_HUMAN	Homo sapiens		Human
1C17_HUMAN	Homo sapiens		Human
1C18_HUMAN	Homo sapiens		Human
2A5A_HUMAN	Homo sapiens		Human
2A5B_HUMAN	Homo sapiens		Human
2A5D_HUMAN	Homo sapiens		Human
2A5E_HUMAN	Homo sapiens		Human
2A5G_HUMAN	Homo sapiens		Human
2AAA_HUMAN	Homo sapiens		Human
2AAB_HUMAN	Homo sapiens		Human
2ABA_HUMAN	Homo sapiens		Human
2ABB_HUMAN	Homo sapiens		Human
2ABD_HUMAN	Homo sapiens		Human
2ABG_HUMAN	Homo sapiens		Human
2B11_HUMAN	Homo sapiens		Human
2B13_HUMAN	Homo sapiens		Human
2B14_HUMAN	Homo sapiens		Human
2B17_HUMAN	Homo sapiens		Human
2B18_HUMAN	Homo sapiens		Human
2B19_HUMAN	Homo sapiens		Human
